author,clickbait_reasons,clickbait_score,collection_method,fact_check_rating,fact_check_title,feed_url,headline,headline_original,id,label,labeling_method,needs_review,published_at,scraped_at,section,source,source_type,split,url,headline_language_detected,headline_language_probability,headline_translation_reason,headline_translation_method
,,0.0,sitemap_url_slug,,,,luis miguel 2da parte 4,luis miguel 2da parte 4,d70e6cec6cae731d,informativo,weak-rules-v1.2,False,2014-07-24T04:15:30+00:00,2026-04-20T23:34:10.215314+00:00,,FMDOS,nacional,train,https://www.fmdos.cl/especial-de-las-dos/luis-miguel-2da-parte-4/,fr,0.571426,kept,kept_original
,,0.0,sitemap_url_slug,,,,la oreja de van gogh,la oreja de van gogh,81f12b642c245775,informativo,weak-rules-v1.2,False,2013-10-30T06:45:32+00:00,2026-04-20T23:34:10.201642+00:00,,FMDOS,nacional,validation,https://www.fmdos.cl/especial-de-las-dos/la-oreja-de-van-gogh/,sl,0.571426,kept,kept_original
,,0.0,news_sitemap,,,,Mano Menezes y los partidos de la selección peruana en ciudades de altura: “Estamos conversando sobre esa posibilidad”,Mano Menezes y los partidos de la selección peruana en ciudades de altura: “Estamos conversando sobre esa posibilidad”,25c56e242487d327,informativo,weak-rules-v1.2,False,2026-04-20T21:32:45.382000+00:00,2026-04-20T23:37:12.671817+00:00,,Infobae,internacional,train,https://www.infobae.com/peru/deportes/2026/04/20/mano-menezes-y-los-partidos-de-la-seleccion-peruana-en-ciudades-de-altura-estamos-conversando-sobre-esa-posibilidad/,es,0.999996,kept,kept_original
,,0.0,sitemap_url_slug,,,,cruzeiro recibira a la uc de luto hincha murio atropellado afuera del mineirao,cruzeiro recibira a la uc de luto hincha murio atropellado afuera del mineirao,aee5c0456c025d18,informativo,weak-rules-v1.2,False,2026-04-13T15:03:47.086000+00:00,2026-04-20T23:35:10.003135+00:00,,En Cancha,nacional,train,https://www.encancha.cl/futbol-chileno/u-catolica/2026/04/13/cruzeiro-recibira-a-la-uc-de-luto-hincha-murio-atropellado-afuera-del-mineirao/,es,0.571427,kept,kept_original
,,0.0,sitemap_url_slug,,,,irreverente pero desordenado la gran duda de fernando ortiz con el nuevo regalon del monumental,irreverente pero desordenado la gran duda de fernando ortiz con el nuevo regalon del monumental,e9db3e77b2a6a2ac,informativo,weak-rules-v1.2,False,2026-04-03T17:10:48.837000+00:00,2026-04-20T23:35:10.043801+00:00,,En Cancha,nacional,train,https://www.encancha.cl/futbol-chileno/colo-colo/2026/04/03/irreverente-pero-desordenado-la-gran-duda-de-fernando-ortiz-con-el-nuevo-regalon-del-monumental/,es,0.999993,kept,kept_original
,curiosity_gap:por que,0.26,sitemap_url_slug,,,,no se por que les duele tanto fran garcia huidobro respondio tras filtracion de su sueldo,no se por que les duele tanto fran garcia huidobro respondio tras filtracion de su sueldo,91ccd1f66ced5786,informativo,weak-rules-v1.2,False,2026-04-18T20:30:43.117000+00:00,2026-04-20T23:32:58.255150+00:00,,La Cuarta,nacional,train,https://www.lacuarta.com/espectaculos/noticia/no-se-por-que-les-duele-tanto-fran-garcia-huidobro-respondio-tras-filtracion-de-su-sueldo/,es,0.999993,kept,kept_original
,,0.0,sitemap_url_slug,,,,la justicia argentina ordena bloquear a cuevana,la justicia argentina ordena bloquear a cuevana,7bfee9f9ceb210c2,informativo,weak-rules-v1.2,False,2011-11-30T22:50:00+00:00,2026-04-20T23:28:55.065439+00:00,,CNN Chile,nacional,train,https://www.cnnchile.com/tecnologias/la-justicia-argentina-ordena-bloquear-a-cuevana_20111130/,es,0.999993,kept,kept_original
Mario Bordonaba,"curiosity_gap:esto es lo que,lo que;curiosity_colon_framing",0.42,rss,,,https://www.20minutos.es/rss/,Netflix sube los precios en España: esto es lo que te costará ver todas tus series y películas favoritas,Netflix sube los precios en España: esto es lo que te costará ver todas tus series y películas favoritas,162c710d41112559,clickbait,manual-review-v1.0,False,2026-04-20T10:46:14+02:00,2026-04-20T23:37:56.119829+00:00,Aplicaciones,20 Minutos,internacional,test,https://www.20minutos.es/tecnologia/aplicaciones/netflix-sube-los-precios-espana-esto-es-que-te-costara-ahora-ver-tus-series-pelis-favoritas_6960191_0.html,es,0.999997,kept,kept_original
,,0.0,sitemap_url_slug,,,,los preparativos para el clasico universitario,los preparativos para el clasico universitario,b172ed9056c17994,informativo,weak-rules-v1.2,False,2011-11-18T23:10:00+00:00,2026-04-20T23:28:55.091406+00:00,,CNN Chile,nacional,train,https://www.cnnchile.com/deportes/los-preparativos-para-el-clasico-universitario_20111118/,es,0.999996,kept,kept_original
,,0.0,sitemap_url_slug,,,,plataforma premia2 anuncia nuevo lanzamiento dinero pese caos mallplaza vespucio 05 04 2026,plataforma premia2 anuncia nuevo lanzamiento dinero pese caos mallplaza vespucio 05 04 2026,b930e5e24ecfbb7c,informativo,weak-rules-v1.2,False,2026-04-05T11:42:00-04:00,2026-04-20T23:31:41.224230+00:00,,Meganoticias,nacional,train,https://www.meganoticias.cl/nacional/518763-plataforma-premia2-anuncia-nuevo-lanzamiento-dinero-pese-caos-mallplaza-vespucio-05-04-2026.html,es,0.999996,kept,kept_original
,curiosity_gap:asi quedo;curiosity_colon_framing;clickbait_framing:asi quedo,0.48,news_sitemap,,,,Tras remontada sobre las locales: así quedó el grupo de Chile en la Copa América Femenina,Tras remontada sobre las locales: así quedó el grupo de Chile en la Copa América Femenina,dceb1495181dc7b8,clickbait,manual-review-v1.0,False,2025-07-22T11:28:03+00:00,2026-04-20T23:28:49.334764+00:00,pressrelease,BioBioChile,nacional,train,https://www.biobiochile.cl/noticias/deportes/futbol/la-roja/2025/07/22/copa-america-femenina-grupo-de-chile-a-una-fecha-del-final.shtml,es,0.999995,kept,kept_original
,sensational_language:impactante,0.15,news_sitemap,,,,Impactante primera imagen del brazo de Alcaraz tras su lesión en el Godó,Impactante primera imagen del brazo de Alcaraz tras su lesión en el Godó,e2b3bbfc56234af5,informativo,weak-rules-v1.2,False,2026-04-20T12:49:12+00:00,2026-04-20T23:38:30.054271+00:00,,Mundo Deportivo,internacional,test,https://www.mundodeportivo.com/tenis/20260420/1004172821/impactante-primera-imagen-brazo-alcaraz-lesion-godo.html,es,0.999997,kept,kept_original
,,0.0,rss,,,https://www.abc.es/rss/2.0/portada/,Morante paga con una cornada muy grave su ofrenda absoluta,Morante paga con una cornada muy grave su ofrenda absoluta,e8797ef0d7a7b52a,informativo,weak-rules-v1.2,False,2026-04-20T23:50:20+02:00,2026-04-20T23:38:12.378125+00:00,,ABC,internacional,train,https://www.abc.es/cultura/toros/sevilla/lunes-toros-maestranza-sevilla-morante-20260420200952-nts.html,es,0.999996,kept,kept_original
Aranza Lineros,curiosity_gap:lo que;curiosity_colon_framing,0.36,rss,,,https://www.fmdos.cl/feed/,"Mató todo lo que yo soy"": Disley Ramos criticó duramente la edición de Mundos Opuestos por daño a su imagen","Mató todo lo que yo soy"": Disley Ramos criticó duramente la edición de Mundos Opuestos por daño a su imagen",9d73f28d817a4267,clickbait,manual-review-v1.0,False,2026-04-18T22:11:58+00:00,2026-04-20T23:33:18.763435+00:00,Espectáculos,FMDOS,nacional,train,https://www.fmdos.cl/espectaculos/mato-todo-lo-que-yo-soy-disley-ramos-critico-duramente-la-edicion-de-mundos-opuestos-por-dano-a-su-imagen/,es,0.999997,kept,kept_original
,,0.0,sitemap_url_slug,,,,flores dia de las madres transporte avianca panorama mundial tv,flores dia de las madres transporte avianca panorama mundial tv,520ce7a6a188e6f7,informativo,weak-rules-v1.2,False,2026-04-14T01:39:26.423000+00:00,2026-04-20T23:36:22.176570+00:00,,CNN Espanol,internacional,train,https://cnnespanol.cnn.com/2026/04/13/latinoamerica/video/flores-dia-de-las-madres-transporte-avianca-panorama-mundial-tv,es,0.999995,kept,kept_original
,,0.0,news_sitemap,,,,José Coronado desmiente que se haya casado con una compañera de la serie 'Entrevías,José Coronado desmiente que se haya casado con una compañera de la serie 'Entrevías,18de85255c0ee9a0,informativo,weak-rules-v1.2,False,2026-04-20T11:26:14+02:00,2026-04-20T23:38:18.949506+00:00,,ABC,internacional,train,https://www.abc.es/gente/jose-coronado-casa-secreto-anos-companera-serie-20260420110522-nt.html,es,0.999997,kept,kept_original
,,0.0,sitemap_url_slug,,,,minera australiana y una canadiense acuerdan explorar litio en argentina en al menos cinco salares,minera australiana y una canadiense acuerdan explorar litio en argentina en al menos cinco salares,665b7f37bff29b1d,informativo,weak-rules-v1.2,False,2026-03-30T12:57:58-03:00,2026-04-20T23:28:49.381199+00:00,,BioBioChile,nacional,test,https://www.biobiochile.cl/noticias/economia/negocios-y-empresas/2026/03/30/minera-australiana-y-una-canadiense-acuerdan-explorar-litio-en-argentina-en-al-menos-cinco-salares.shtml,es,0.999997,kept,kept_original
,,0.0,sitemap_url_slug,,,,la relacion de shakira con su suegra,la relacion de shakira con su suegra,fa103963de8e07f4,informativo,weak-rules-v1.2,False,2015-04-27T19:03:20+00:00,2026-04-20T23:34:10.239895+00:00,,FMDOS,nacional,validation,https://www.fmdos.cl/noticias/la-relacion-de-shakira-con-su-suegra/,es,0.999993,kept,kept_original
,,0.0,news_sitemap,,,,Tres hombres arrestados tras un robo cerca de Cheltenham,Three men arrested after burglary near Cheltenham,47de99660b5ee1ea,informativo,weak-rules-v1.2,False,2026-04-19T11:39:34+00:00,2026-04-20T23:35:19.036915+00:00,,BBC Mundo,internacional,test,https://www.bbc.com/news/articles/cr71kn7n2ezo,en,0.999997,detected_non_es,GoogleTranslator(auto->es)
,,0.0,sitemap_url_slug,,,,la u da un paso hacia el futuro y firma a tres promesas para fernando gago,la u da un paso hacia el futuro y firma a tres promesas para fernando gago,8d50ef212d12efc7,informativo,weak-rules-v1.2,False,2026-04-17T01:32:00.272000+00:00,2026-04-20T23:35:09.985876+00:00,,En Cancha,nacional,train,https://www.encancha.cl/futbol-chileno/u-de-chile/2026/04/16/la-u-da-un-paso-hacia-el-futuro-y-firma-a-tres-promesas-para-fernando-gago/,es,0.999996,kept,kept_original
,,0.0,sitemap_url_slug,,,,salario minimo vital y movil smvm,salario minimo vital y movil smvm,aed2767bf1995866,informativo,weak-rules-v1.2,False,2026-04-01T12:29:59+00:00,2026-04-20T23:37:29.659841+00:00,,Clarin,internacional,train,https://www.clarin.com/tema/salario-minimo-vital-y-movil-smvm.html,lt,0.714285,kept,kept_original
,,0.0,sitemap_url_slug,,,,partido de futbol entre elefantes,partido de futbol entre elefantes,0a7b3767be75a291,informativo,weak-rules-v1.2,False,2011-12-28T11:47:00+00:00,2026-04-20T23:28:55.118526+00:00,,CNN Chile,nacional,validation,https://www.cnnchile.com/tecnologias/partido-de-futbol-entre-elefantes_20111228/,es,0.999996,kept,kept_original
,,0.0,sitemap_url_slug,,,,en colchagua se ilusionan con el gran batacazo en el futbol chileno tenemos hambre de gloria,en colchagua se ilusionan con el gran batacazo en el futbol chileno tenemos hambre de gloria,1c23b6f8e4134a52,informativo,weak-rules-v1.2,False,2026-04-11T11:30:01.406000+00:00,2026-04-20T23:35:10.012164+00:00,,En Cancha,nacional,train,https://www.encancha.cl/futbol-chileno/2026/04/11/en-colchagua-se-ilusionan-con-el-gran-batacazo-en-el-futbol-chileno-tenemos-hambre-de-gloria/,es,0.999996,kept,kept_original
Paloma Rando,,0.0,rss,,,https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/portada,Penélope Cruz: “Yo nunca permitiría a nadie que me quitara la voz a la hora de denunciar el machaque a los civiles y a los niños”,Penélope Cruz: “Yo nunca permitiría a nadie que me quitara la voz a la hora de denunciar el machaque a los civiles y a los niños”,535a33a25c2ec8f5,informativo,weak-rules-v1.2,False,2026-04-18T03:30:01+00:00,2026-04-20T23:35:21.122139+00:00,Actrices,El Pais,internacional,train,https://elpais.com/smoda/famosos/2026-04-18/penelope-cruz-en-pleno-rodaje-me-estaba-poniendo-la-peluca-y-un-medico-al-telefono-me-dijo-parece-que-tienes-un-aneurisma.html,es,0.999995,kept,kept_original
,,0.0,news_sitemap,,,,"Elisabeth Reynés, de 22 años, elegida nueva representante de España en el próximo concurso de Miss Mundo 2026","Elisabeth Reynés, de 22 años, elegida nueva representante de España en el próximo concurso de Miss Mundo 2026",0b59341f03ee7de2,informativo,weak-rules-v1.2,False,2026-04-19T12:51:10+00:00,2026-04-20T23:38:30.077356+00:00,,Mundo Deportivo,internacional,train,https://www.mundodeportivo.com/actualidad/20260419/1004172417/elisabeth-reynes-22-anos-elegida-nueva-representante-espana-proximo-concurso-miss-mundo-2026-galeria-dct.html,es,0.999997,kept,kept_original
,,0.0,sitemap_url_slug,,,,fernando gago define el retorno de juan martin lucero y entrega novedades sobre charles aranguiz en la u,fernando gago define el retorno de juan martin lucero y entrega novedades sobre charles aranguiz en la u,e55bf1e648901ca0,informativo,weak-rules-v1.2,False,2026-04-10T21:34:07.340000+00:00,2026-04-20T23:35:10.013395+00:00,,En Cancha,nacional,validation,https://www.encancha.cl/futbol-chileno/u-de-chile/2026/04/10/fernando-gago-define-el-retorno-de-juan-martin-lucero-y-entrega-novedades-sobre-charles-aranguiz-en-la-u/,es,0.999996,kept,kept_original
,,0.0,sitemap_url_slug,,,,beyonce es pillada nuevamente de haciendo playback,beyonce es pillada nuevamente de haciendo playback,50531d45dac7c43b,informativo,weak-rules-v1.2,False,2025-11-14T19:27:16+00:00,2026-04-20T23:33:16.678769+00:00,,Pagina 7,nacional,train,https://www.pagina7.cl/entretencion/beyonce-es-pillada-nuevamente-de-haciendo-playback/,es,0.999996,kept,kept_original
,question_headline;question_opener;exclamation,0.24,news_sitemap,,,,¿Cuánto dinero se gasta un piloto para llegar a la F1? Un pastizal a fondo perdido y sin garantía: ¡Millones de euros!,¿Cuánto dinero se gasta un piloto para llegar a la F1? Un pastizal a fondo perdido y sin garantía: ¡Millones de euros!,8378bbd337e6c60e,informativo,weak-rules-v1.2,False,2026-04-19T16:46:34+00:00,2026-04-20T23:38:30.072099+00:00,,Mundo Deportivo,internacional,train,https://www.mundodeportivo.com/motor/f1/20260419/1004172505/dinero-gasta-piloto-llegar-formula-1-pastizal-fondo-perdido-garantia.html,es,0.999997,kept,kept_original
,,0.0,sitemap_url_slug,,,,justicia descarta sobreseimiento a johnny herrera por manejar sin licencia de conducir,justicia descarta sobreseimiento a johnny herrera por manejar sin licencia de conducir,5e104f639feac984,informativo,weak-rules-v1.2,False,2025-11-14T19:25:08+00:00,2026-04-20T23:33:16.659686+00:00,,Pagina 7,nacional,train,https://www.pagina7.cl/actualidad/deporte/justicia-descarta-sobreseimiento-a-johnny-herrera-por-manejar-sin-licencia-de-conducir/,es,0.999994,kept,kept_original
,,0.0,sitemap_url_slug,,,,revancha cuartos champions 2025 2026 orix,revancha cuartos champions 2025 2026 orix,3bb9152ef626d4fc,informativo,weak-rules-v1.2,False,2026-04-13T23:49:14.878000+00:00,2026-04-20T23:36:22.176897+00:00,,CNN Espanol,internacional,train,https://cnnespanol.cnn.com/2026/04/13/deportes/revancha-cuartos-champions-2025-2026-orix,pt,0.999994,detected_non_es,GoogleTranslator(auto->es)
,,0.0,sitemap_url_slug,,,,alejandro tabilo se despidio de montecarlo tras dejar pasar una gran oportunidad,alejandro tabilo se despidio de montecarlo tras dejar pasar una gran oportunidad,647dd5c9e126a8c4,informativo,weak-rules-v1.2,False,2026-04-08T15:47:53.304000+00:00,2026-04-20T23:35:10.023165+00:00,,En Cancha,nacional,train,https://www.encancha.cl/polideportivo/tenis/2026/04/08/alejandro-tabilo-se-despidio-de-montecarlo-tras-dejar-pasar-una-gran-oportunidad/,es,0.999996,kept,kept_original
,curiosity_gap:lo que;curiosity_gap_opener,0.36,sitemap_url_slug,,,,lo que encontraron en su celular impacto a fiscal y juez carcel para bolivianos que tapaban zanja con retroexcavadora,lo que encontraron en su celular impacto a fiscal y juez carcel para bolivianos que tapaban zanja con retroexcavadora,0fced1ecfe1d6521,clickbait,manual-review-v1.0,False,2026-04-17T19:48:01.423000+00:00,2026-04-20T23:32:58.257367+00:00,,La Cuarta,nacional,train,https://www.lacuarta.com/chile/noticia/lo-que-encontraron-en-su-celular-impacto-a-fiscal-y-juez-carcel-para-bolivianos-que-tapaban-zanja-con-retroexcavadora/,es,0.999997,kept,kept_original
